구분,테이블명(영문),테이블명(한글),SEQ,컬럼명(영문),컬럼명(한글),NN,데이터 타입,길이,PK,FK,인덱스,기본값,제약조건,컬럼설명
FP,customer,회원,1 ,customer_id,고객ID,Y,CHAR,36,PK,,,,,UUID
FP,customer,회원,2 ,email,이메일,Y,VARCHAR,100,,,,UNIQUE,,로그인ID
FP,customer,회원,3 ,password_hash,비밀번호,Y,VARCHAR,255,,,,,,암호화저장
FP,customer,회원,4 ,name,이름,Y,VARCHAR,50,,,,,,고객명
FP,customer,회원,5 ,phone,휴대폰번호,Y,VARCHAR,20,,,,UNIQUE,,인증된번호
FP,customer,회원,6 ,birthdate,생년월일,N,DATE,,,,,,,선택입력
FP,customer,회원,7 ,job,직업,N,VARCHAR,20,,,,,,"전업주부, 회사원, 자영업, 기타"
FP,customer,회원,8 ,gender,성별,N,ENUM,-,,,,,,"'M','F','O'"
FP,customer,회원,9 ,grade,회원등급,Y,ENUM,-,,,,BRONZE,,"('BRONZE','SILVER','GOLD','VIP','ADMIN')"
FP,customer,회원,10 ,role,권한,Y,ENUM,-,,,,CUSTOMER,,"('CUSTOMER','SELLER','RIDER','ADMIN')"
FP,customer,회원,11 ,zipcode,우편번호,N,VARCHAR,10,,,,,,
FP,customer,회원,12 ,sido,시도,N,VARCHAR,50,,,,,,
FP,customer,회원,13 ,sigungu,시군구,N,VARCHAR,50,,,,,,
FP,customer,회원,14 ,eupmyeondong,읍면동,N,VARCHAR,50,,,,,,
FP,customer,회원,15 ,road_name,도로명,N,VARCHAR,100,,,,,,
FP,customer,회원,16 ,building_no,건물번호,N,VARCHAR,20,,,,,,
FP,customer,회원,17 ,building_name,건물명,N,VARCHAR,100,,,,,,
FP,customer,회원,18 ,detail_address,상세주소,N,VARCHAR,100,,,,,,
FP,customer,회원,21 ,store_id,가게ID,N,CHAR,36,,,,,,"현재 가게ID, 메인화면에서 슈퍼변경"
FP,customer,회원,22 ,marketing_optin,마케팅수신동의,Y,BOOLEAN,,,,,,,TRUE=동의
FP,customer,회원,23 ,privacy_consent,개인정보동의,Y,BOOLEAN,,,,,,,TRUE=동의
FP,customer,회원,24 ,location_consent,위치정보동의,Y,BOOLEAN,,,,,,,TRUE=동의
FP,customer,회원,25 ,status,회원상태,Y,ENUM,-,,,,,,"ACTIVE(활성), INACTIVE(비활성), BLOCKED(차단), DELETED(탈퇴)"
FP,customer,회원,26 ,created_at,가입일,Y,DATETIME,,,,,,,
FP,customer,회원,27 ,modified_at,수정일,N,DATETIME,,,,,,,
FP,customer_shop,회원가게,1 ,customer_id,회원ID,Y,CHAR,36,PK,FK,,UUID(),,
FP,customer_shop,회원가게,2 ,store_id,가게ID,Y,CHAR,36,PK,FK,,UUID(),,
FP,customer_shop,회원가게,3 ,point_balance,포인트잔액,Y,INT,,,,,,,현재 가용 포인트
FP,customer_shop,회원가게,4 ,point_pending,보류포인트,Y,INT,,,,,,,결제 전표확정 대기
FP,customer_shop,회원가게,5 ,created_at,생성일,Y,DATETIME,8,,,,,,
FP,customer_shop,회원가게,6 ,modified_at,수정일,Y,DATETIME,8,,,,,,
FP,customer_shop,회원가게,7 ,status,상태,Y,ENUM,2,,,,,,"ACTIVE(정상), LEFT(탈퇴), BANNED(제한), PENDING(승인대기)"
FP,address,회원주소,1 ,address_id,주소ID,Y,CHAR,36,PK,,,UUID(),,
FP,address,회원주소,2 ,customer_id,회원ID,Y,CHAR,36,PK,FK,,,,
FP,address,회원주소,3 ,address_name,주소명,Y,VARCHAR,255,,,,,,"우리집, 사무실,…"
FP,address,회원주소,4 ,address,회원주소,Y,VARCHAR,255,,,,,,
FP,address,회원주소,5 ,message,배송메세지,Y,VARCHAR,255,,,,,,"문 앞에 두고 벨 눌러주세요,  …"
FP,address,회원주소,6 ,created_at,생성일,Y,DATETIME,8,,,,,,
FP,address,회원주소,7 ,modified_at,수정일,Y,DATETIME,8,,,,,,
FP,address,회원주소,8 ,status,상태,Y,ENUM,2,,,,,,"ACTIVE(사용), INACTIVE(미사용), DEFAULT(기본배송지)"
FP,wishlist,찜,1 ,store_id,가게ID,Y,CHAR,36,PK,FK,,,,
FP,wishlist,찜,2 ,customer_id,회원ID,Y,CHAR,36,PK,FK,,,,
FP,wishlist,찜,3 ,item_id,상품ID,Y,CHAR,36,PK,,,,,
FP,wishlist,찜,4 ,quantity,수량,Y,INT,4,,,,,,
