구분,테이블명(영문),테이블명(한글),SEQ,컬럼명(영문),컬럼명(한글),NN,데이터 타입,길이,PK,FK,인덱스,기본값,제약조건,비고
SB,order,주문,1 ,order_id,주문ID,Y,CHAR,36,PK,,,UUID(),,
SB,order,주문,2 ,store_id,가게ID,Y,CHAR,36,PK,FK,,,,
SB,order,주문,3 ,customer_id,회원ID,Y,CHAR,36,PK,FK,,,,
SB,order,주문,4 ,address_id,주소ID,Y,CHAR,36,,FK,,,,
SB,order,주문,5 ,order_no,주문번호,Y,CHAR,30,,,UK,,,
SB,order,주문,6 ,payment_id,결재ID,N,CHAR,36,,FK,,,,
SB,order,주문,7 ,ordered_at,주문일시,Y,DATETIME,8,,,,,,
SB,order,주문,8 ,paid_at,결제일시,N,DATETIME,8,,,,,,
SB,order,주문,9 ,discounted_total_price,할인가격,Y,INT,4,,,,,,
SB,order,주문,10 ,origin_total_price,원래가격,Y,INT,4,,,,,,
SB,order,주문,11 ,delivery_method,배송방식,N,ENUM,,,,,,,"DELIVERY, BBQ, PICKUP, RESERVE, FRESH_MORNING, SAME_DAY, 3P_DELIVERY"
SB,order,주문,12 ,quick_depart_date,퀵출발일,N,DATE,,,,,,,
SB,order,주문,13 ,quick_depart_time,퀵출발시각,N,TIME,,,,,,,
SB,order,주문,14 ,ro_rider_id,선택라이더,N,CHAR,36,,,,,,
SB,order,주문,15 ,delivery_fee,배송료,Y,"DECIMAL(12,2)",13,,,,,,기본 0
SB,order,주문,16 ,delivery_price,배달료,Y,INT,4,,,,,,
SB,order,주문,17 ,order_price,주문가격,Y,INT,4,,,,,,
SB,order,주문,18 ,points_earned,적립포인트,Y,INT,,,,,,,주문 확정 시 적립
SB,order,주문,19 ,points_redeemed,사용포인트,Y,INT,,,,,,,결제에 사용된 포인트
SB,order,주문,20 ,points_value_redeemed,사용포인트금액,Y,"DECIMAL(12,2)",13,,,,,,통화 환산값
SB,order,주문,21 ,final_payable,최종결제금액,Y,"DECIMAL(12,2)",13,,,,,,= order_total ? points_value_redeemed
SB,order,주문,22 ,requests,요청사항,N,VARCHAR,255,,,,,,
SB,order,주문,23 ,created_at,생성일,Y,DATETIME,8,,,,,,
SB,order,주문,24 ,modified_at,수정일,Y,DATETIME,8,,,,,,
SB,order,주문,25 ,status,상태,Y,ENUM,2,,,,,,"CREATED(생성), PAID(결제완료), PACKING(포장중), DISPATCHED(배송출발), DELIVERING(배송중), DELIVERED(배송완료), CANCELED(취소), REFUNDED(환불)"
SB,order_item,주문상세,1 ,order_detail_id,주문상세ID,Y,CHAR(36),36,PK,,,,,주문상세 고유 식별자(UUID)
SB,order_item,주문상세,2 ,order_id,주문ID,Y,CHAR(36),36,FK,,,,,주문 마스터 참조
SB,order_item,주문상세,3 ,item_id,상품ID,Y,CHAR(36),36,FK,,,,,주문한 상품
SB,order_item,주문상세,4 ,qty,주문수량,Y,INT,4,,,,,,주문한 수량
SB,order_item,주문상세,5 ,unit_price,단가,Y,"DECIMAL(12,2)",13,,,,,,단위 상품 금액
SB,order_item,주문상세,6 ,discount,할인금액,N,"DECIMAL(12,2)",13,,,,,,쿠폰/프로모션 할인
SB,order_item,주문상세,7 ,line_total,소계금액,Y,"DECIMAL(12,2)",13,,,,,,qty × unit_price - discount
SB,order_item,주문상세,8 ,status,주문상세상태,Y,ENUM,-,,,,,,"ORDERED, PACKING, SHIPPED, DELIVERED, CANCELED"
SB,order_item,주문상세,9 ,shipped_qty,출고수량,N,INT,,,,,,,실 출고된 수량
SB,order_item,주문상세,10 ,created_at,생성일시,Y,DATETIME,8,,,,,,생성시각
SB,order_item,주문상세,11 ,updated_at,수정일시,N,DATETIME,8,,,,,,수정시각
SB,review,리뷰,1 ,review_id,리뷰ID,Y,CHAR,36,PK,,,UUID(),,
SB,review,리뷰,2 ,store_id,가게ID,Y,CHAR,36,PK,FK,,,,
SB,review,리뷰,3 ,customer_id,회원ID,Y,CHAR,36,PK,FK,,,,
SB,review,리뷰,4 ,item_id,상품ID,N,CHAR,36,PK,FK,,,,
SB,review,리뷰,5 ,rating,별점,Y,INT,4,,,,,,
SB,review,리뷰,6 ,content,내용,N,VARCHAR,255,,,,,,
SB,review,리뷰,7 ,review_picture_url,리뷰사진,N,TEXT,255,,,,,,
SB,review,리뷰,8 ,created_at,생성일,Y,DATETIME,8,,,,,,
SB,review,리뷰,9 ,modified_at,수정일,Y,DATETIME,8,,,,,,
SB,review,리뷰,10 ,status,상태,Y,ENUM,2,,,,,,"VISIBLE(노출), HIDDEN(숨김), REPORTED(신고), DELETED(삭제)"
SB,shipment,배송,1 ,shipment_id,배송ID,Y,CHAR,36,PK,,,,,
SB,shipment,배송,2 ,order_id,주문ID,Y,CHAR,36,,FK,,,,
SB,shipment,배송,3 ,tracking_no,송장번호,N,VARCHAR,64,,,IDX,,,
SB,shipment,배송,4 ,method,배송방식,Y,ENUM,,,,,,,"QUICK, RO_ONDEMAND"
SB,shipment,배송,5 ,store_id,가게ID,N,CHAR,36,IDX,,,,,
SB,shipment,배송,6 ,depart_date,출발일,N,DATE,,IDX,,,,,QUICK
SB,shipment,배송,7 ,depart_time,출발시각,N,TIME,,IDX,,,,,QUICK
SB,shipment,배송,8 ,eta_min,ETA최소(분),N,TINYINT,,,,,,,RO
SB,shipment,배송,9 ,eta_max,ETA최대(분),N,TINYINT,,,,,,,RO
SB,shipment,배송,10 ,delivery_fee,배송료,Y,DECIMAL,"12,2",,,,,,기본 0
SB,shipment,배송,11 ,quote_id,견적ID,N,CHAR,36,,,,,,rider_fee_quote
SB,shipment,배송,12 ,status,상태,Y,ENUM,,,,IDX,,,"READY, ASSIGNED, PICKED_UP, OUT_FOR_DELIVERY, DELIVERED, FAILED, SCHEDULED"
SB,shipment,배송,13 ,rider_id,라이더ID,N,CHAR,36,,FK,,,,
SB,shipment,배송,14 ,updated_at,갱신일시,Y,DATETIME,8,,,,,,
SB,shipment_event,배송이벤트,1 ,event_id,이벤트ID,Y,CHAR,36,PK,,,,,
SB,shipment_event,배송이벤트,2 ,shipment_id,배송ID,Y,CHAR,36,,FK,,,,
SB,shipment_event,배송이벤트,3 ,event_code,이벤트코드,Y,ENUM,2,,,,,,"ASSIGNED, OUT, ARRIVED, FAILED, PROOF_UPLOADED, SCHEDULED, VEHICLE_DEPARTED"
SB,shipment_event,배송이벤트,4 ,memo,메모,N,TEXT,255,,,,,,
SB,shipment_event,배송이벤트,5 ,metadata,메타데이터,N,json,65535,,,,,,
SB,shipment_event,배송이벤트,6 ,created_at,생성일시,Y,DATETIME,8,,,,,,
SB,seller,판매원,1 ,seller_id,판매자ID,Y,CHAR,36,PK,,,,,
SB,seller,판매원,2 ,email,이메일,Y,VARCHAR,120,,,,,,UNIQUE
SB,seller,판매원,3 ,name,이름,Y,VARCHAR,80,,,,,,
SB,seller,판매원,4 ,phone,전화,N,VARCHAR,20,,,,,,
SB,seller,판매원,5 ,role,역할,Y,ENUM,2,,,,,,"OWNER,MANAGER,PICKER,PACKER"
SB,seller,판매원,6 ,store_id,가게ID,Y,CHAR,36,,FK,,,,
